category,filename,image_path,roi_id,x1,y1,x2,y2,width,height,area
Action,035.jpg,data/CAT2000/trainSet/Stimuli/Action/035.jpg,ROI_03,854,426,1108,675,254,249,63246
Action,037.jpg,data/CAT2000/trainSet/Stimuli/Action/037.jpg,ROI_00,841,298,1168,626,327,328,107256
Action,037.jpg,data/CAT2000/trainSet/Stimuli/Action/037.jpg,ROI_01,1243,689,1475,854,232,165,38280
Action,039.jpg,data/CAT2000/trainSet/Stimuli/Action/039.jpg,ROI_00,770,183,1160,681,390,498,194220
Action,039.jpg,data/CAT2000/trainSet/Stimuli/Action/039.jpg,ROI_01,935,926,1056,1040,121,114,13794
Action,041.jpg,data/CAT2000/trainSet/Stimuli/Action/041.jpg,ROI_00,777,304,1050,655,273,351,95823
Action,043.jpg,data/CAT2000/trainSet/Stimuli/Action/043.jpg,ROI_00,807,147,1039,368,232,221,51272
Action,043.jpg,data/CAT2000/trainSet/Stimuli/Action/043.jpg,ROI_01,872,405,1153,664,281,259,72779
Action,043.jpg,data/CAT2000/trainSet/Stimuli/Action/043.jpg,ROI_02,1019,665,1131,762,112,97,10864
Action,045.jpg,data/CAT2000/trainSet/Stimuli/Action/045.jpg,ROI_00,741,302,1099,660,358,358,128164
Action,045.jpg,data/CAT2000/trainSet/Stimuli/Action/045.jpg,ROI_01,793,697,911,827,118,130,15340
Action,047.jpg,data/CAT2000/trainSet/Stimuli/Action/047.jpg,ROI_00,857,255,1123,650,266,395,105070
Action,049.jpg,data/CAT2000/trainSet/Stimuli/Action/049.jpg,ROI_00,869,313,1125,642,256,329,84224
Action,049.jpg,data/CAT2000/trainSet/Stimuli/Action/049.jpg,ROI_01,851,647,1030,886,179,239,42781
Action,051.jpg,data/CAT2000/trainSet/Stimuli/Action/051.jpg,ROI_00,807,223,1299,682,492,459,225828
Action,053.jpg,data/CAT2000/trainSet/Stimuli/Action/053.jpg,ROI_00,865,345,1241,720,376,375,141000
Action,055.jpg,data/CAT2000/trainSet/Stimuli/Action/055.jpg,ROI_00,892,177,1065,381,173,204,35292
Action,055.jpg,data/CAT2000/trainSet/Stimuli/Action/055.jpg,ROI_01,587,227,882,400,295,173,51035
Action,055.jpg,data/CAT2000/trainSet/Stimuli/Action/055.jpg,ROI_02,860,422,1198,645,338,223,75374
Action,055.jpg,data/CAT2000/trainSet/Stimuli/Action/055.jpg,ROI_03,810,671,1050,832,240,161,38640
Action,057.jpg,data/CAT2000/trainSet/Stimuli/Action/057.jpg,ROI_00,715,268,1118,641,403,373,150319
Action,059.jpg,data/CAT2000/trainSet/Stimuli/Action/059.jpg,ROI_00,685,232,778,360,93,128,11904
Action,059.jpg,data/CAT2000/trainSet/Stimuli/Action/059.jpg,ROI_01,858,441,1253,688,395,247,97565
Action,059.jpg,data/CAT2000/trainSet/Stimuli/Action/059.jpg,ROI_02,496,615,633,747,137,132,18084
Action,059.jpg,data/CAT2000/trainSet/Stimuli/Action/059.jpg,ROI_03,924,768,1210,973,286,205,58630
Action,061.jpg,data/CAT2000/trainSet/Stimuli/Action/061.jpg,ROI_00,891,275,1227,834,336,559,187824
Action,063.jpg,data/CAT2000/trainSet/Stimuli/Action/063.jpg,ROI_00,1547,291,1704,426,157,135,21195
Action,063.jpg,data/CAT2000/trainSet/Stimuli/Action/063.jpg,ROI_01,1212,401,1339,531,127,130,16510
Action,063.jpg,data/CAT2000/trainSet/Stimuli/Action/063.jpg,ROI_02,835,362,1022,620,187,258,48246
Action,065.jpg,data/CAT2000/trainSet/Stimuli/Action/065.jpg,ROI_00,783,381,1123,705,340,324,110160
Action,067.jpg,data/CAT2000/trainSet/Stimuli/Action/067.jpg,ROI_00,802,377,1402,643,600,266,159600
Action,069.jpg,data/CAT2000/trainSet/Stimuli/Action/069.jpg,ROI_00,762,133,1142,693,380,560,212800
Action,071.jpg,data/CAT2000/trainSet/Stimuli/Action/071.jpg,ROI_00,1365,387,1508,533,143,146,20878
Action,071.jpg,data/CAT2000/trainSet/Stimuli/Action/071.jpg,ROI_01,766,366,1133,747,367,381,139827
Action,071.jpg,data/CAT2000/trainSet/Stimuli/Action/071.jpg,ROI_02,402,568,525,737,123,169,20787
Action,073.jpg,data/CAT2000/trainSet/Stimuli/Action/073.jpg,ROI_00,780,372,1109,802,329,430,141470
Action,075.jpg,data/CAT2000/trainSet/Stimuli/Action/075.jpg,ROI_00,782,398,1103,688,321,290,93090
Action,075.jpg,data/CAT2000/trainSet/Stimuli/Action/075.jpg,ROI_01,852,693,1096,966,244,273,66612
Action,077.jpg,data/CAT2000/trainSet/Stimuli/Action/077.jpg,ROI_00,870,432,1088,944,218,512,111616
Action,077.jpg,data/CAT2000/trainSet/Stimuli/Action/077.jpg,ROI_01,1299,746,1465,899,166,153,25398
Action,077.jpg,data/CAT2000/trainSet/Stimuli/Action/077.jpg,ROI_02,446,730,671,934,225,204,45900
Action,079.jpg,data/CAT2000/trainSet/Stimuli/Action/079.jpg,ROI_00,713,448,1208,747,495,299,148005
Action,081.jpg,data/CAT2000/trainSet/Stimuli/Action/081.jpg,ROI_00,849,331,1272,755,423,424,179352
Action,081.jpg,data/CAT2000/trainSet/Stimuli/Action/081.jpg,ROI_01,1260,834,1348,942,88,108,9504
Action,083.jpg,data/CAT2000/trainSet/Stimuli/Action/083.jpg,ROI_00,1419,466,1563,732,144,266,38304
Action,083.jpg,data/CAT2000/trainSet/Stimuli/Action/083.jpg,ROI_01,858,435,1158,773,300,338,101400
Action,085.jpg,data/CAT2000/trainSet/Stimuli/Action/085.jpg,ROI_00,494,265,1077,789,583,524,305492
Action,085.jpg,data/CAT2000/trainSet/Stimuli/Action/085.jpg,ROI_01,1167,523,1305,616,138,93,12834
Action,087.jpg,data/CAT2000/trainSet/Stimuli/Action/087.jpg,ROI_00,659,440,1094,898,435,458,199230
Action,089.jpg,data/CAT2000/trainSet/Stimuli/Action/089.jpg,ROI_00,665,385,1099,827,434,442,191828
Action,089.jpg,data/CAT2000/trainSet/Stimuli/Action/089.jpg,ROI_01,1418,626,1583,762,165,136,22440
Action,091.jpg,data/CAT2000/trainSet/Stimuli/Action/091.jpg,ROI_00,848,202,1108,615,260,413,107380
Action,093.jpg,data/CAT2000/trainSet/Stimuli/Action/093.jpg,ROI_00,1179,1,1660,184,481,183,88023
Action,093.jpg,data/CAT2000/trainSet/Stimuli/Action/093.jpg,ROI_01,861,295,1070,651,209,356,74404
Action,093.jpg,data/CAT2000/trainSet/Stimuli/Action/093.jpg,ROI_02,966,878,1099,985,133,107,14231
Action,095.jpg,data/CAT2000/trainSet/Stimuli/Action/095.jpg,ROI_00,871,414,1097,626,226,212,47912
Action,095.jpg,data/CAT2000/trainSet/Stimuli/Action/095.jpg,ROI_01,506,557,711,782,205,225,46125
Action,097.jpg,data/CAT2000/trainSet/Stimuli/Action/097.jpg,ROI_00,870,238,935,325,65,87,5655
Action,097.jpg,data/CAT2000/trainSet/Stimuli/Action/097.jpg,ROI_01,805,378,1230,757,425,379,161075
Action,099.jpg,data/CAT2000/trainSet/Stimuli/Action/099.jpg,ROI_00,807,171,1135,632,328,461,151208
Action,101.jpg,data/CAT2000/trainSet/Stimuli/Action/101.jpg,ROI_00,786,143,1126,688,340,545,185300
Action,101.jpg,data/CAT2000/trainSet/Stimuli/Action/101.jpg,ROI_01,1288,851,1489,1008,201,157,31557
Action,103.jpg,data/CAT2000/trainSet/Stimuli/Action/103.jpg,ROI_00,1252,320,1425,480,173,160,27680
Action,103.jpg,data/CAT2000/trainSet/Stimuli/Action/103.jpg,ROI_01,895,294,1238,598,343,304,104272
Action,103.jpg,data/CAT2000/trainSet/Stimuli/Action/103.jpg,ROI_02,1090,815,1199,976,109,161,17549
Action,105.jpg,data/CAT2000/trainSet/Stimuli/Action/105.jpg,ROI_00,831,389,1228,756,397,367,145699
Action,107.jpg,data/CAT2000/trainSet/Stimuli/Action/107.jpg,ROI_00,1372,296,1586,517,214,221,47294
Action,107.jpg,data/CAT2000/trainSet/Stimuli/Action/107.jpg,ROI_01,669,400,1140,712,471,312,146952
Action,109.jpg,data/CAT2000/trainSet/Stimuli/Action/109.jpg,ROI_00,883,220,1229,606,346,386,133556
Action,109.jpg,data/CAT2000/trainSet/Stimuli/Action/109.jpg,ROI_01,706,1027,763,1077,57,50,2850
Action,111.jpg,data/CAT2000/trainSet/Stimuli/Action/111.jpg,ROI_00,590,129,697,219,107,90,9630
Action,111.jpg,data/CAT2000/trainSet/Stimuli/Action/111.jpg,ROI_01,894,168,1092,369,198,201,39798
Action,111.jpg,data/CAT2000/trainSet/Stimuli/Action/111.jpg,ROI_02,694,416,1088,851,394,435,171390
Action,113.jpg,data/CAT2000/trainSet/Stimuli/Action/113.jpg,ROI_00,691,210,1076,631,385,421,162085
Action,113.jpg,data/CAT2000/trainSet/Stimuli/Action/113.jpg,ROI_01,713,661,857,809,144,148,21312
Action,115.jpg,data/CAT2000/trainSet/Stimuli/Action/115.jpg,ROI_00,849,281,1118,669,269,388,104372
Action,117.jpg,data/CAT2000/trainSet/Stimuli/Action/117.jpg,ROI_00,850,250,1127,824,277,574,158998
Action,117.jpg,data/CAT2000/trainSet/Stimuli/Action/117.jpg,ROI_01,760,916,893,1078,133,162,21546
Action,119.jpg,data/CAT2000/trainSet/Stimuli/Action/119.jpg,ROI_00,825,407,1162,682,337,275,92675
Action,119.jpg,data/CAT2000/trainSet/Stimuli/Action/119.jpg,ROI_01,1178,495,1442,654,264,159,41976
Action,121.jpg,data/CAT2000/trainSet/Stimuli/Action/121.jpg,ROI_00,355,284,525,452,170,168,28560
Action,121.jpg,data/CAT2000/trainSet/Stimuli/Action/121.jpg,ROI_01,1124,292,1563,482,439,190,83410
Action,121.jpg,data/CAT2000/trainSet/Stimuli/Action/121.jpg,ROI_02,706,299,1095,646,389,347,134983
Action,123.jpg,data/CAT2000/trainSet/Stimuli/Action/123.jpg,ROI_00,758,189,1174,641,416,452,188032
Action,125.jpg,data/CAT2000/trainSet/Stimuli/Action/125.jpg,ROI_00,792,248,1057,645,265,397,105205
Action,125.jpg,data/CAT2000/trainSet/Stimuli/Action/125.jpg,ROI_01,876,683,1062,896,186,213,39618
Action,127.jpg,data/CAT2000/trainSet/Stimuli/Action/127.jpg,ROI_00,598,172,837,476,239,304,72656
Action,127.jpg,data/CAT2000/trainSet/Stimuli/Action/127.jpg,ROI_01,868,112,1249,778,381,666,253746
Action,129.jpg,data/CAT2000/trainSet/Stimuli/Action/129.jpg,ROI_00,811,187,1123,690,312,503,156936
Action,131.jpg,data/CAT2000/trainSet/Stimuli/Action/131.jpg,ROI_00,306,352,445,450,139,98,13622
Action,131.jpg,data/CAT2000/trainSet/Stimuli/Action/131.jpg,ROI_01,786,144,1045,662,259,518,134162
Action,131.jpg,data/CAT2000/trainSet/Stimuli/Action/131.jpg,ROI_02,1111,320,1234,531,123,211,25953
Action,133.jpg,data/CAT2000/trainSet/Stimuli/Action/133.jpg,ROI_00,858,323,1076,679,218,356,77608
Action,133.jpg,data/CAT2000/trainSet/Stimuli/Action/133.jpg,ROI_01,501,454,739,589,238,135,32130
Action,133.jpg,data/CAT2000/trainSet/Stimuli/Action/133.jpg,ROI_02,1550,464,1634,597,84,133,11172
Action,135.jpg,data/CAT2000/trainSet/Stimuli/Action/135.jpg,ROI_00,816,386,1256,678,440,292,128480
Action,135.jpg,data/CAT2000/trainSet/Stimuli/Action/135.jpg,ROI_01,321,518,429,635,108,117,12636
Action,137.jpg,data/CAT2000/trainSet/Stimuli/Action/137.jpg,ROI_00,1566,341,1671,480,105,139,14595
Action,137.jpg,data/CAT2000/trainSet/Stimuli/Action/137.jpg,ROI_01,1321,361,1491,553,170,192,32640
Action,137.jpg,data/CAT2000/trainSet/Stimuli/Action/137.jpg,ROI_02,864,399,1218,713,354,314,111156
Action,137.jpg,data/CAT2000/trainSet/Stimuli/Action/137.jpg,ROI_03,511,600,613,700,102,100,10200
Action,139.jpg,data/CAT2000/trainSet/Stimuli/Action/139.jpg,ROI_00,1126,450,1339,649,213,199,42387
Action,139.jpg,data/CAT2000/trainSet/Stimuli/Action/139.jpg,ROI_01,665,441,1070,690,405,249,100845
Action,141.jpg,data/CAT2000/trainSet/Stimuli/Action/141.jpg,ROI_00,1258,256,1369,343,111,87,9657
Action,141.jpg,data/CAT2000/trainSet/Stimuli/Action/141.jpg,ROI_01,845,305,1167,627,322,322,103684
Action,141.jpg,data/CAT2000/trainSet/Stimuli/Action/141.jpg,ROI_02,1342,907,1543,1076,201,169,33969
Action,143.jpg,data/CAT2000/trainSet/Stimuli/Action/143.jpg,ROI_00,866,247,1197,739,331,492,162852
Action,145.jpg,data/CAT2000/trainSet/Stimuli/Action/145.jpg,ROI_00,1315,522,1452,652,137,130,17810
Action,145.jpg,data/CAT2000/trainSet/Stimuli/Action/145.jpg,ROI_01,894,442,1167,743,273,301,82173
Action,145.jpg,data/CAT2000/trainSet/Stimuli/Action/145.jpg,ROI_02,564,518,873,721,309,203,62727
Action,147.jpg,data/CAT2000/trainSet/Stimuli/Action/147.jpg,ROI_00,583,270,1210,731,627,461,289047
Action,149.jpg,data/CAT2000/trainSet/Stimuli/Action/149.jpg,ROI_00,597,95,696,192,99,97,9603
Action,149.jpg,data/CAT2000/trainSet/Stimuli/Action/149.jpg,ROI_01,885,122,1216,591,331,469,155239
Action,149.jpg,data/CAT2000/trainSet/Stimuli/Action/149.jpg,ROI_02,394,236,483,334,89,98,8722
Action,149.jpg,data/CAT2000/trainSet/Stimuli/Action/149.jpg,ROI_03,784,625,880,721,96,96,9216
Action,151.jpg,data/CAT2000/trainSet/Stimuli/Action/151.jpg,ROI_00,689,285,1154,859,465,574,266910
Action,153.jpg,data/CAT2000/trainSet/Stimuli/Action/153.jpg,ROI_00,1523,143,1694,355,171,212,36252
Action,153.jpg,data/CAT2000/trainSet/Stimuli/Action/153.jpg,ROI_01,780,257,1121,601,341,344,117304
Action,153.jpg,data/CAT2000/trainSet/Stimuli/Action/153.jpg,ROI_02,492,367,713,577,221,210,46410
Action,155.jpg,data/CAT2000/trainSet/Stimuli/Action/155.jpg,ROI_00,1518,140,1623,247,105,107,11235
Action,155.jpg,data/CAT2000/trainSet/Stimuli/Action/155.jpg,ROI_01,771,261,1070,624,299,363,108537
Action,155.jpg,data/CAT2000/trainSet/Stimuli/Action/155.jpg,ROI_02,1137,674,1271,828,134,154,20636
Action,155.jpg,data/CAT2000/trainSet/Stimuli/Action/155.jpg,ROI_03,448,739,554,821,106,82,8692
Action,157.jpg,data/CAT2000/trainSet/Stimuli/Action/157.jpg,ROI_00,408,360,657,538,249,178,44322
Action,157.jpg,data/CAT2000/trainSet/Stimuli/Action/157.jpg,ROI_01,1427,421,1548,559,121,138,16698
Action,157.jpg,data/CAT2000/trainSet/Stimuli/Action/157.jpg,ROI_02,770,360,1244,635,474,275,130350
Action,159.jpg,data/CAT2000/trainSet/Stimuli/Action/159.jpg,ROI_00,1209,225,1376,413,167,188,31396
Action,159.jpg,data/CAT2000/trainSet/Stimuli/Action/159.jpg,ROI_01,772,148,1194,626,422,478,201716
Action,161.jpg,data/CAT2000/trainSet/Stimuli/Action/161.jpg,ROI_00,1199,135,1561,394,362,259,93758
Action,161.jpg,data/CAT2000/trainSet/Stimuli/Action/161.jpg,ROI_01,1233,396,1322,507,89,111,9879
Action,161.jpg,data/CAT2000/trainSet/Stimuli/Action/161.jpg,ROI_02,871,439,1087,645,216,206,44496
Action,161.jpg,data/CAT2000/trainSet/Stimuli/Action/161.jpg,ROI_03,708,823,857,996,149,173,25777
Action,163.jpg,data/CAT2000/trainSet/Stimuli/Action/163.jpg,ROI_00,661,250,1042,638,381,388,147828
Action,163.jpg,data/CAT2000/trainSet/Stimuli/Action/163.jpg,ROI_01,951,759,1113,947,162,188,30456
Action,165.jpg,data/CAT2000/trainSet/Stimuli/Action/165.jpg,ROI_00,828,241,1158,660,330,419,138270
Action,165.jpg,data/CAT2000/trainSet/Stimuli/Action/165.jpg,ROI_01,998,789,1157,916,159,127,20193
Action,167.jpg,data/CAT2000/trainSet/Stimuli/Action/167.jpg,ROI_00,858,310,1109,773,251,463,116213
Action,169.jpg,data/CAT2000/trainSet/Stimuli/Action/169.jpg,ROI_00,773,146,1055,596,282,450,126900
Action,169.jpg,data/CAT2000/trainSet/Stimuli/Action/169.jpg,ROI_01,910,881,1052,1000,142,119,16898
Action,171.jpg,data/CAT2000/trainSet/Stimuli/Action/171.jpg,ROI_00,833,218,1182,671,349,453,158097
Action,173.jpg,data/CAT2000/trainSet/Stimuli/Action/173.jpg,ROI_00,819,210,956,361,137,151,20687
Action,173.jpg,data/CAT2000/trainSet/Stimuli/Action/173.jpg,ROI_01,1111,292,1451,563,340,271,92140
Action,173.jpg,data/CAT2000/trainSet/Stimuli/Action/173.jpg,ROI_02,914,449,1062,644,148,195,28860
Action,175.jpg,data/CAT2000/trainSet/Stimuli/Action/175.jpg,ROI_00,1077,17,1242,219,165,202,33330
Action,175.jpg,data/CAT2000/trainSet/Stimuli/Action/175.jpg,ROI_01,474,301,709,525,235,224,52640
Action,175.jpg,data/CAT2000/trainSet/Stimuli/Action/175.jpg,ROI_02,1257,362,1355,474,98,112,10976
Action,175.jpg,data/CAT2000/trainSet/Stimuli/Action/175.jpg,ROI_03,812,282,1069,633,257,351,90207
Action,177.jpg,data/CAT2000/trainSet/Stimuli/Action/177.jpg,ROI_00,592,324,1077,657,485,333,161505
Action,179.jpg,data/CAT2000/trainSet/Stimuli/Action/179.jpg,ROI_00,707,158,1070,641,363,483,175329
Action,179.jpg,data/CAT2000/trainSet/Stimuli/Action/179.jpg,ROI_01,1190,443,1325,549,135,106,14310
Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg,ROI_00,925,207,1119,415,194,208,40352
Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg,ROI_01,883,419,991,473,108,54,5832
Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg,ROI_02,1138,337,1380,564,242,227,54934
Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg,ROI_03,912,492,1038,642,126,150,18900
Action,181.jpg,data/CAT2000/trainSet/Stimuli/Action/181.jpg,ROI_04,1078,728,1189,859,111,131,14541
Action,183.jpg,data/CAT2000/trainSet/Stimuli/Action/183.jpg,ROI_00,774,73,1095,695,321,622,199662
Action,183.jpg,data/CAT2000/trainSet/Stimuli/Action/183.jpg,ROI_01,784,984,915,1040,131,56,7336
Action,185.jpg,data/CAT2000/trainSet/Stimuli/Action/185.jpg,ROI_00,838,133,1137,766,299,633,189267
Action,185.jpg,data/CAT2000/trainSet/Stimuli/Action/185.jpg,ROI_01,1023,813,1145,897,122,84,10248
Action,187.jpg,data/CAT2000/trainSet/Stimuli/Action/187.jpg,ROI_00,860,137,1099,830,239,693,165627
Action,189.jpg,data/CAT2000/trainSet/Stimuli/Action/189.jpg,ROI_00,1415,313,1622,515,207,202,41814
Action,189.jpg,data/CAT2000/trainSet/Stimuli/Action/189.jpg,ROI_01,515,309,1061,633,546,324,176904
Action,189.jpg,data/CAT2000/trainSet/Stimuli/Action/189.jpg,ROI_02,773,967,840,1016,67,49,3283
Action,191.jpg,data/CAT2000/trainSet/Stimuli/Action/191.jpg,ROI_00,840,97,1059,636,219,539,118041
Action,191.jpg,data/CAT2000/trainSet/Stimuli/Action/191.jpg,ROI_01,1082,578,1221,704,139,126,17514
Action,191.jpg,data/CAT2000/trainSet/Stimuli/Action/191.jpg,ROI_02,906,809,1014,900,108,91,9828
Action,193.jpg,data/CAT2000/trainSet/Stimuli/Action/193.jpg,ROI_00,1494,147,1676,320,182,173,31486
Action,193.jpg,data/CAT2000/trainSet/Stimuli/Action/193.jpg,ROI_01,823,170,1049,623,226,453,102378
Action,193.jpg,data/CAT2000/trainSet/Stimuli/Action/193.jpg,ROI_02,409,536,606,710,197,174,34278
Action,195.jpg,data/CAT2000/trainSet/Stimuli/Action/195.jpg,ROI_00,1498,368,1659,539,161,171,27531
Action,195.jpg,data/CAT2000/trainSet/Stimuli/Action/195.jpg,ROI_01,741,386,1095,657,354,271,95934
Action,195.jpg,data/CAT2000/trainSet/Stimuli/Action/195.jpg,ROI_02,1173,510,1300,618,127,108,13716
Action,195.jpg,data/CAT2000/trainSet/Stimuli/Action/195.jpg,ROI_03,1448,591,1595,734,147,143,21021
Action,197.jpg,data/CAT2000/trainSet/Stimuli/Action/197.jpg,ROI_00,1508,106,1673,257,165,151,24915
Action,197.jpg,data/CAT2000/trainSet/Stimuli/Action/197.jpg,ROI_01,775,246,1059,620,284,374,106216
Action,197.jpg,data/CAT2000/trainSet/Stimuli/Action/197.jpg,ROI_02,577,393,693,522,116,129,14964
Action,199.jpg,data/CAT2000/trainSet/Stimuli/Action/199.jpg,ROI_00,729,386,1092,677,363,291,105633
Affective,001.jpg,data/CAT2000/trainSet/Stimuli/Affective/001.jpg,ROI_00,1239,371,1350,548,111,177,19647
Affective,001.jpg,data/CAT2000/trainSet/Stimuli/Affective/001.jpg,ROI_01,878,382,1098,669,220,287,63140
Affective,003.jpg,data/CAT2000/trainSet/Stimuli/Affective/003.jpg,ROI_00,1106,286,1616,587,510,301,153510
Affective,003.jpg,data/CAT2000/trainSet/Stimuli/Affective/003.jpg,ROI_01,915,470,1083,644,168,174,29232
Affective,005.jpg,data/CAT2000/trainSet/Stimuli/Affective/005.jpg,ROI_00,910,280,1352,661,442,381,168402
Affective,007.jpg,data/CAT2000/trainSet/Stimuli/Affective/007.jpg,ROI_00,756,281,1190,705,434,424,184016
Affective,007.jpg,data/CAT2000/trainSet/Stimuli/Affective/007.jpg,ROI_01,1095,709,1177,818,82,109,8938
Affective,009.jpg,data/CAT2000/trainSet/Stimuli/Affective/009.jpg,ROI_00,1231,299,1418,483,187,184,34408
Affective,009.jpg,data/CAT2000/trainSet/Stimuli/Affective/009.jpg,ROI_01,865,346,1110,681,245,335,82075
Affective,009.jpg,data/CAT2000/trainSet/Stimuli/Affective/009.jpg,ROI_02,1293,671,1469,839,176,168,29568
Affective,011.jpg,data/CAT2000/trainSet/Stimuli/Affective/011.jpg,ROI_00,757,289,1093,709,336,420,141120
Affective,013.jpg,data/CAT2000/trainSet/Stimuli/Affective/013.jpg,ROI_00,778,186,1160,765,382,579,221178
Affective,015.jpg,data/CAT2000/trainSet/Stimuli/Affective/015.jpg,ROI_00,494,205,671,461,177,256,45312
Affective,015.jpg,data/CAT2000/trainSet/Stimuli/Affective/015.jpg,ROI_01,875,440,1032,577,157,137,21509
Affective,015.jpg,data/CAT2000/trainSet/Stimuli/Affective/015.jpg,ROI_02,1318,547,1544,808,226,261,58986
Affective,017.jpg,data/CAT2000/trainSet/Stimuli/Affective/017.jpg,ROI_00,1530,263,1730,428,200,165,33000
Affective,017.jpg,data/CAT2000/trainSet/Stimuli/Affective/017.jpg,ROI_01,746,190,1107,617,361,427,154147
Affective,017.jpg,data/CAT2000/trainSet/Stimuli/Affective/017.jpg,ROI_02,425,439,660,630,235,191,44885
Affective,019.jpg,data/CAT2000/trainSet/Stimuli/Affective/019.jpg,ROI_00,1436,335,1572,438,136,103,14008
