image_id,category,filename,image_width,image_height,A_P,A_O
Affective_077,Affective,077.jpg,1920,1080,325127,1748473
Affective_079,Affective,079.jpg,1920,1080,602623,1470977
Affective_081,Affective,081.jpg,1920,1080,208132,1865468
Affective_083,Affective,083.jpg,1920,1080,291627,1781973
Affective_085,Affective,085.jpg,1920,1080,492058,1581542
Affective_087,Affective,087.jpg,1920,1080,632941,1440659
Affective_089,Affective,089.jpg,1920,1080,273887,1799713
Affective_091,Affective,091.jpg,1920,1080,913733,1159867
Affective_093,Affective,093.jpg,1920,1080,689476,1384124
Affective_097,Affective,097.jpg,1920,1080,176645,1896955
Affective_101,Affective,101.jpg,1920,1080,1147984,925616
Affective_103,Affective,103.jpg,1920,1080,1092290,981310
Affective_105,Affective,105.jpg,1920,1080,641633,1431967
Affective_107,Affective,107.jpg,1920,1080,383822,1689778
Affective_109,Affective,109.jpg,1920,1080,778296,1295304
Affective_113,Affective,113.jpg,1920,1080,535316,1538284
Affective_115,Affective,115.jpg,1920,1080,402745,1670855
Affective_121,Affective,121.jpg,1920,1080,751284,1322316
Affective_123,Affective,123.jpg,1920,1080,671882,1401718
Affective_127,Affective,127.jpg,1920,1080,93655,1979945
Affective_135,Affective,135.jpg,1920,1080,181865,1891735
Affective_137,Affective,137.jpg,1920,1080,108836,1964764
Affective_141,Affective,141.jpg,1920,1080,370357,1703243
Affective_145,Affective,145.jpg,1920,1080,387794,1685806
Affective_147,Affective,147.jpg,1920,1080,541779,1531821
Affective_153,Affective,153.jpg,1920,1080,418508,1655092
Affective_157,Affective,157.jpg,1920,1080,213669,1859931
Affective_159,Affective,159.jpg,1920,1080,240729,1832871
Affective_163,Affective,163.jpg,1920,1080,747500,1326100
Affective_165,Affective,165.jpg,1920,1080,670827,1402773
Affective_167,Affective,167.jpg,1920,1080,168168,1905432
Affective_173,Affective,173.jpg,1920,1080,657393,1416207
Affective_175,Affective,175.jpg,1920,1080,138473,1935127
Affective_177,Affective,177.jpg,1920,1080,1147940,925660
Affective_179,Affective,179.jpg,1920,1080,497867,1575733
Affective_181,Affective,181.jpg,1920,1080,690641,1382959
Affective_183,Affective,183.jpg,1920,1080,513395,1560205
Affective_185,Affective,185.jpg,1920,1080,301457,1772143
Affective_187,Affective,187.jpg,1920,1080,978080,1095520
Affective_189,Affective,189.jpg,1920,1080,471332,1602268
Affective_191,Affective,191.jpg,1920,1080,564343,1509257
Affective_197,Affective,197.jpg,1920,1080,875895,1197705
Social_001,Social,001.jpg,1920,1080,491670,1581930
Social_003,Social,003.jpg,1920,1080,1051021,1022579
Social_009,Social,009.jpg,1920,1080,221899,1851701
Social_013,Social,013.jpg,1920,1080,1002445,1071155
Social_015,Social,015.jpg,1920,1080,660463,1413137
Social_017,Social,017.jpg,1920,1080,459458,1614142
Social_021,Social,021.jpg,1920,1080,791060,1282540
Social_027,Social,027.jpg,1920,1080,880100,1193500
Social_035,Social,035.jpg,1920,1080,405558,1668042
Social_037,Social,037.jpg,1920,1080,953005,1120595
Social_041,Social,041.jpg,1920,1080,1445551,628049
Social_043,Social,043.jpg,1920,1080,688676,1384924
Social_047,Social,047.jpg,1920,1080,381777,1691823
Social_051,Social,051.jpg,1920,1080,118685,1954915
Social_053,Social,053.jpg,1920,1080,19065,2054535
Social_061,Social,061.jpg,1920,1080,961267,1112333
Social_067,Social,067.jpg,1920,1080,546323,1527277
Social_073,Social,073.jpg,1920,1080,389686,1683914
Social_089,Social,089.jpg,1920,1080,602106,1471494
Social_091,Social,091.jpg,1920,1080,826377,1247223
Social_093,Social,093.jpg,1920,1080,588930,1484670
Social_095,Social,095.jpg,1920,1080,1214933,858667
Social_099,Social,099.jpg,1920,1080,552649,1520951
Social_111,Social,111.jpg,1920,1080,387028,1686572
Social_115,Social,115.jpg,1920,1080,442678,1630922
Social_125,Social,125.jpg,1920,1080,967527,1106073
Social_127,Social,127.jpg,1920,1080,555082,1518518
Social_131,Social,131.jpg,1920,1080,173465,1900135
Social_135,Social,135.jpg,1920,1080,821453,1252147
Social_141,Social,141.jpg,1920,1080,417840,1655760
Social_151,Social,151.jpg,1920,1080,503079,1570521
Social_153,Social,153.jpg,1920,1080,324376,1749224
Social_159,Social,159.jpg,1920,1080,563325,1510275
Social_161,Social,161.jpg,1920,1080,369931,1703669
Social_163,Social,163.jpg,1920,1080,704987,1368613
Social_167,Social,167.jpg,1920,1080,611408,1462192
Social_187,Social,187.jpg,1920,1080,911829,1161771
Social_191,Social,191.jpg,1920,1080,508113,1565487
