image_id,category,filename,image_path
Affective_029,Affective,029.jpg,data/CAT2000/trainSet/Stimuli/Affective/029.jpg
Affective_033,Affective,033.jpg,data/CAT2000/trainSet/Stimuli/Affective/033.jpg
Affective_037,Affective,037.jpg,data/CAT2000/trainSet/Stimuli/Affective/037.jpg
Affective_039,Affective,039.jpg,data/CAT2000/trainSet/Stimuli/Affective/039.jpg
Affective_041,Affective,041.jpg,data/CAT2000/trainSet/Stimuli/Affective/041.jpg
Affective_043,Affective,043.jpg,data/CAT2000/trainSet/Stimuli/Affective/043.jpg
Affective_045,Affective,045.jpg,data/CAT2000/trainSet/Stimuli/Affective/045.jpg
Affective_049,Affective,049.jpg,data/CAT2000/trainSet/Stimuli/Affective/049.jpg
Affective_051,Affective,051.jpg,data/CAT2000/trainSet/Stimuli/Affective/051.jpg
Affective_053,Affective,053.jpg,data/CAT2000/trainSet/Stimuli/Affective/053.jpg
Affective_055,Affective,055.jpg,data/CAT2000/trainSet/Stimuli/Affective/055.jpg
Affective_057,Affective,057.jpg,data/CAT2000/trainSet/Stimuli/Affective/057.jpg
Affective_059,Affective,059.jpg,data/CAT2000/trainSet/Stimuli/Affective/059.jpg
Affective_061,Affective,061.jpg,data/CAT2000/trainSet/Stimuli/Affective/061.jpg
Affective_065,Affective,065.jpg,data/CAT2000/trainSet/Stimuli/Affective/065.jpg
Affective_067,Affective,067.jpg,data/CAT2000/trainSet/Stimuli/Affective/067.jpg
Affective_069,Affective,069.jpg,data/CAT2000/trainSet/Stimuli/Affective/069.jpg
Affective_071,Affective,071.jpg,data/CAT2000/trainSet/Stimuli/Affective/071.jpg
Affective_073,Affective,073.jpg,data/CAT2000/trainSet/Stimuli/Affective/073.jpg
Affective_077,Affective,077.jpg,data/CAT2000/trainSet/Stimuli/Affective/077.jpg
Affective_079,Affective,079.jpg,data/CAT2000/trainSet/Stimuli/Affective/079.jpg
Affective_081,Affective,081.jpg,data/CAT2000/trainSet/Stimuli/Affective/081.jpg
Affective_083,Affective,083.jpg,data/CAT2000/trainSet/Stimuli/Affective/083.jpg
Affective_085,Affective,085.jpg,data/CAT2000/trainSet/Stimuli/Affective/085.jpg
Affective_087,Affective,087.jpg,data/CAT2000/trainSet/Stimuli/Affective/087.jpg
Affective_089,Affective,089.jpg,data/CAT2000/trainSet/Stimuli/Affective/089.jpg
Affective_091,Affective,091.jpg,data/CAT2000/trainSet/Stimuli/Affective/091.jpg
Affective_093,Affective,093.jpg,data/CAT2000/trainSet/Stimuli/Affective/093.jpg
Affective_097,Affective,097.jpg,data/CAT2000/trainSet/Stimuli/Affective/097.jpg
Affective_101,Affective,101.jpg,data/CAT2000/trainSet/Stimuli/Affective/101.jpg
Affective_103,Affective,103.jpg,data/CAT2000/trainSet/Stimuli/Affective/103.jpg
Affective_105,Affective,105.jpg,data/CAT2000/trainSet/Stimuli/Affective/105.jpg
Affective_107,Affective,107.jpg,data/CAT2000/trainSet/Stimuli/Affective/107.jpg
Affective_109,Affective,109.jpg,data/CAT2000/trainSet/Stimuli/Affective/109.jpg
Affective_113,Affective,113.jpg,data/CAT2000/trainSet/Stimuli/Affective/113.jpg
Affective_115,Affective,115.jpg,data/CAT2000/trainSet/Stimuli/Affective/115.jpg
Affective_121,Affective,121.jpg,data/CAT2000/trainSet/Stimuli/Affective/121.jpg
Affective_123,Affective,123.jpg,data/CAT2000/trainSet/Stimuli/Affective/123.jpg
Affective_127,Affective,127.jpg,data/CAT2000/trainSet/Stimuli/Affective/127.jpg
Affective_135,Affective,135.jpg,data/CAT2000/trainSet/Stimuli/Affective/135.jpg
Affective_137,Affective,137.jpg,data/CAT2000/trainSet/Stimuli/Affective/137.jpg
Affective_141,Affective,141.jpg,data/CAT2000/trainSet/Stimuli/Affective/141.jpg
Affective_145,Affective,145.jpg,data/CAT2000/trainSet/Stimuli/Affective/145.jpg
Affective_147,Affective,147.jpg,data/CAT2000/trainSet/Stimuli/Affective/147.jpg
Affective_153,Affective,153.jpg,data/CAT2000/trainSet/Stimuli/Affective/153.jpg
Affective_157,Affective,157.jpg,data/CAT2000/trainSet/Stimuli/Affective/157.jpg
Affective_159,Affective,159.jpg,data/CAT2000/trainSet/Stimuli/Affective/159.jpg
Affective_163,Affective,163.jpg,data/CAT2000/trainSet/Stimuli/Affective/163.jpg
Affective_165,Affective,165.jpg,data/CAT2000/trainSet/Stimuli/Affective/165.jpg
Affective_167,Affective,167.jpg,data/CAT2000/trainSet/Stimuli/Affective/167.jpg
Affective_173,Affective,173.jpg,data/CAT2000/trainSet/Stimuli/Affective/173.jpg
Affective_175,Affective,175.jpg,data/CAT2000/trainSet/Stimuli/Affective/175.jpg
Affective_177,Affective,177.jpg,data/CAT2000/trainSet/Stimuli/Affective/177.jpg
Affective_179,Affective,179.jpg,data/CAT2000/trainSet/Stimuli/Affective/179.jpg
Affective_181,Affective,181.jpg,data/CAT2000/trainSet/Stimuli/Affective/181.jpg
Affective_183,Affective,183.jpg,data/CAT2000/trainSet/Stimuli/Affective/183.jpg
Affective_185,Affective,185.jpg,data/CAT2000/trainSet/Stimuli/Affective/185.jpg
Affective_187,Affective,187.jpg,data/CAT2000/trainSet/Stimuli/Affective/187.jpg
Affective_189,Affective,189.jpg,data/CAT2000/trainSet/Stimuli/Affective/189.jpg
Affective_191,Affective,191.jpg,data/CAT2000/trainSet/Stimuli/Affective/191.jpg
Affective_197,Affective,197.jpg,data/CAT2000/trainSet/Stimuli/Affective/197.jpg
Social_001,Social,001.jpg,data/CAT2000/trainSet/Stimuli/Social/001.jpg
Social_003,Social,003.jpg,data/CAT2000/trainSet/Stimuli/Social/003.jpg
Social_009,Social,009.jpg,data/CAT2000/trainSet/Stimuli/Social/009.jpg
Social_013,Social,013.jpg,data/CAT2000/trainSet/Stimuli/Social/013.jpg
Social_015,Social,015.jpg,data/CAT2000/trainSet/Stimuli/Social/015.jpg
Social_017,Social,017.jpg,data/CAT2000/trainSet/Stimuli/Social/017.jpg
Social_021,Social,021.jpg,data/CAT2000/trainSet/Stimuli/Social/021.jpg
Social_027,Social,027.jpg,data/CAT2000/trainSet/Stimuli/Social/027.jpg
Social_035,Social,035.jpg,data/CAT2000/trainSet/Stimuli/Social/035.jpg
Social_037,Social,037.jpg,data/CAT2000/trainSet/Stimuli/Social/037.jpg
Social_041,Social,041.jpg,data/CAT2000/trainSet/Stimuli/Social/041.jpg
Social_043,Social,043.jpg,data/CAT2000/trainSet/Stimuli/Social/043.jpg
Social_047,Social,047.jpg,data/CAT2000/trainSet/Stimuli/Social/047.jpg
Social_051,Social,051.jpg,data/CAT2000/trainSet/Stimuli/Social/051.jpg
Social_053,Social,053.jpg,data/CAT2000/trainSet/Stimuli/Social/053.jpg
Social_061,Social,061.jpg,data/CAT2000/trainSet/Stimuli/Social/061.jpg
Social_067,Social,067.jpg,data/CAT2000/trainSet/Stimuli/Social/067.jpg
Social_073,Social,073.jpg,data/CAT2000/trainSet/Stimuli/Social/073.jpg
Social_089,Social,089.jpg,data/CAT2000/trainSet/Stimuli/Social/089.jpg
Social_091,Social,091.jpg,data/CAT2000/trainSet/Stimuli/Social/091.jpg
Social_093,Social,093.jpg,data/CAT2000/trainSet/Stimuli/Social/093.jpg
Social_095,Social,095.jpg,data/CAT2000/trainSet/Stimuli/Social/095.jpg
Social_099,Social,099.jpg,data/CAT2000/trainSet/Stimuli/Social/099.jpg
Social_111,Social,111.jpg,data/CAT2000/trainSet/Stimuli/Social/111.jpg
Social_115,Social,115.jpg,data/CAT2000/trainSet/Stimuli/Social/115.jpg
Social_125,Social,125.jpg,data/CAT2000/trainSet/Stimuli/Social/125.jpg
Social_127,Social,127.jpg,data/CAT2000/trainSet/Stimuli/Social/127.jpg
Social_131,Social,131.jpg,data/CAT2000/trainSet/Stimuli/Social/131.jpg
Social_135,Social,135.jpg,data/CAT2000/trainSet/Stimuli/Social/135.jpg
Social_141,Social,141.jpg,data/CAT2000/trainSet/Stimuli/Social/141.jpg
Social_151,Social,151.jpg,data/CAT2000/trainSet/Stimuli/Social/151.jpg
Social_153,Social,153.jpg,data/CAT2000/trainSet/Stimuli/Social/153.jpg
Social_159,Social,159.jpg,data/CAT2000/trainSet/Stimuli/Social/159.jpg
Social_161,Social,161.jpg,data/CAT2000/trainSet/Stimuli/Social/161.jpg
Social_163,Social,163.jpg,data/CAT2000/trainSet/Stimuli/Social/163.jpg
Social_167,Social,167.jpg,data/CAT2000/trainSet/Stimuli/Social/167.jpg
Social_187,Social,187.jpg,data/CAT2000/trainSet/Stimuli/Social/187.jpg
Social_191,Social,191.jpg,data/CAT2000/trainSet/Stimuli/Social/191.jpg
